episode,reward
0,-0.11725
100,0.1145
200,0.40475
300,0.8625
400,0.876
500,1.14125
600,1.2015
700,1.193
800,1.259
900,1.3355
1000,1.365
1100,1.48675
1200,1.47575
1300,1.39775
1400,1.38875
1500,1.35625
1600,1.19925
1700,1.4035
1800,1.4095
1900,1.427
2000,1.198
2100,1.28075
2200,1.389
2300,1.39875
2400,1.053
2500,1.28875
2600,1.36575
2700,1.44325
2800,1.315
2900,1.30975
3000,1.24425
3100,1.3155
3200,1.29375
3300,1.2935
3400,1.3305
3500,1.3725
3600,1.2305
3700,1.27225
3800,1.262
3900,1.20175
4000,1.2415
4100,1.2635
4200,1.26
4300,1.288
4400,1.26625
4500,1.10175
4600,1.141
4700,1.16625
4800,1.1645
4900,1.292
